Variable,Bin,Points
DAYS_EMPLOYED,"[-1404.50, -952.50)",3.5996287176826547
DAYS_EMPLOYED,"[-952.50, -566.50)",2.3504955597305046
DAYS_EMPLOYED,"[-566.50, inf)",1.850950904121969
DAYS_EMPLOYED,Special,7.3875093272873205
DAYS_EMPLOYED,Missing,7.3875093272873205
DAYS_REGISTRATION,"(-inf, -10808.50)",15.771273254291998
DAYS_REGISTRATION,"[-10808.50, -9173.50)",14.028086967768484
DAYS_REGISTRATION,"[-9173.50, -8284.50)",10.879726227500937
DAYS_REGISTRATION,"[-8284.50, -7418.50)",10.226347458190872
DAYS_REGISTRATION,"[-7418.50, -5715.50)",8.7503859197691
DAYS_REGISTRATION,"[-5715.50, -4902.50)",6.218155003335399
DAYS_REGISTRATION,"[-4902.50, -1022.50)",5.737597516812087
DAYS_REGISTRATION,"[-1022.50, -532.50)",4.506815916489731
DAYS_REGISTRATION,"[-532.50, inf)",2.475996966755212
DAYS_REGISTRATION,Special,7.3875093272873205
DAYS_REGISTRATION,Missing,7.3875093272873205
DAYS_ID_PUBLISH,"(-inf, -4718.50)",11.943480130423493
DAYS_ID_PUBLISH,"[-4718.50, -4452.50)",11.69377152247499
DAYS_ID_PUBLISH,"[-4452.50, -4218.50)",10.851465235083683
DAYS_ID_PUBLISH,"[-4218.50, -4033.50)",8.90464119091189
DAYS_ID_PUBLISH,"[-4033.50, -3389.50)",7.744888136075571
DAYS_ID_PUBLISH,"[-3389.50, -3011.50)",7.319453404888199
DAYS_ID_PUBLISH,"[-3011.50, -2638.50)",6.276531816403027
DAYS_ID_PUBLISH,"[-2638.50, -1897.50)",6.014811376667187
DAYS_ID_PUBLISH,"[-1897.50, -1514.50)",4.946391745932837
DAYS_ID_PUBLISH,"[-1514.50, -1029.50)",4.726152941175069
DAYS_ID_PUBLISH,"[-1029.50, -386.50)",4.179167662241867
DAYS_ID_PUBLISH,"[-386.50, inf)",3.3286457183532168
DAYS_ID_PUBLISH,Special,7.3875093272873205
DAYS_ID_PUBLISH,Missing,7.3875093272873205
OWN_CAR_AGE,"(-inf, 3.50)",21.20036617726501
OWN_CAR_AGE,"[3.50, 7.50)",23.70280471425779
OWN_CAR_AGE,"[7.50, 11.50)",13.770190840162073
OWN_CAR_AGE,"[11.50, 16.50)",5.000708831793675
OWN_CAR_AGE,"[16.50, inf)",0.40098516560950337
OWN_CAR_AGE,Special,7.3875093272873205
OWN_CAR_AGE,Missing,7.3875093272873205
FLAG_EMP_PHONE,"(-inf, 0.50)",9.43570749184135
FLAG_EMP_PHONE,"[0.50, inf)",7.025721801655019
FLAG_EMP_PHONE,Special,7.3875093272873205
FLAG_EMP_PHONE,Missing,7.3875093272873205
OCCUPATION_TYPE,['Accountants' 'IT staff' 'Managers'],12.650741320722709
OCCUPATION_TYPE,"['High skill tech staff' 'Core staff' 'Private service staff'
 'Medicine staff' 'HR staff' 'Secretaries' 'Realty agents']",10.683454513814894
OCCUPATION_TYPE,['Cleaning staff' 'Sales staff'],4.685663737449003
OCCUPATION_TYPE,['Cooking staff' 'Laborers' 'Security staff'],3.192901950116039
OCCUPATION_TYPE,['Drivers' 'Waiters/barmen staff' 'Low-skill Laborers'],1.1943334649839388
OCCUPATION_TYPE,Special,7.3875093272873205
OCCUPATION_TYPE,Missing,7.3875093272873205
REGION_RATING_CLIENT,"(-inf, 1.50)",5.184527072033102
REGION_RATING_CLIENT,"[1.50, 2.50)",7.281241715475767
REGION_RATING_CLIENT,"[2.50, inf)",8.824009615664341
REGION_RATING_CLIENT,Special,7.3875093272873205
REGION_RATING_CLIENT,Missing,7.3875093272873205
REGION_RATING_CLIENT_W_CITY,"(-inf, 1.50)",20.109591389751674
REGION_RATING_CLIENT_W_CITY,"[1.50, 2.50)",7.933126309077634
REGION_RATING_CLIENT_W_CITY,"[2.50, inf)",-1.753307676101766
REGION_RATING_CLIENT_W_CITY,Special,7.3875093272873205
REGION_RATING_CLIENT_W_CITY,Missing,7.3875093272873205
EXT_SOURCE_1,"(-inf, 0.27)",-16.024125267581496
EXT_SOURCE_1,"[0.27, 0.41)",2.598861483634975
EXT_SOURCE_1,"[0.41, 0.53)",13.572186575114966
EXT_SOURCE_1,"[0.53, 0.62)",20.74626937800524
EXT_SOURCE_1,"[0.62, 0.70)",26.7247397428039
EXT_SOURCE_1,"[0.70, inf)",40.94070486458764
EXT_SOURCE_1,Special,7.3875093272873205
EXT_SOURCE_1,Missing,7.3875093272873205
EXT_SOURCE_2,"(-inf, 0.15)",-50.605299189035755
EXT_SOURCE_2,"[0.15, 0.26)",-23.49122302674494
EXT_SOURCE_2,"[0.26, 0.35)",-12.38453139789863
